id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z
406,0.294487,-0.634463,8.74362,0.028436,0.0244314,0.0406424,0.194625,0.200587,0.19137
407,0.167594,-0.744596,8.2145,0.00831804,-0.0113412,0.0393767,0.194814,0.200522,0.192524
408,0.122104,-0.812831,8.4228,0.00845127,0.000116676,0.0249211,0.19504,0.200393,0.193415
409,0.0526724,-0.961271,8.47427,0.0271703,-0.0150051,0.0163277,0.195491,0.200419,0.193841
410,-0.14844,-0.80924,8.51138,0.0159122,-0.0372547,0.03065,0.19611,0.199506,0.194448
411,-0.579397,-0.679953,8.65743,0.020109,-0.0464476,0.0376447,0.19593,0.198418,0.195792
412,0.155623,-0.641646,8.83221,0.0239727,-0.0488458,0.0177266,0.196104,0.196835,0.196548
413,0.0347159,-1.06542,8.54131,0.0451565,-0.0287945,0.00959951,0.197319,0.195871,0.196832
414,0.0766144,-1.25576,8.24682,0.013514,-0.0182692,0.0340474,0.197643,0.195308,0.197162
415,0.0670376,-1.17076,8.4216,0.00358833,-0.0186689,0.0549647,0.197541,0.194806,0.199155
416,-0.149638,-1.3216,8.74721,0.0126481,-0.0251973,0.0465712,0.198012,0.19439,0.201667
417,-0.147243,-1.41378,8.57124,0.0592124,-0.053309,0.046438,0.199471,0.19316,0.202722
418,-0.0574608,-1.58376,8.9603,0.0274367,-0.0512439,0.0750826,0.200704,0.191624,0.204654
419,0.0299275,-1.35153,8.9579,0.0181772,-0.0344568,0.0846753,0.201301,0.190403,0.20688
420,0.169988,-1.31442,8.50779,0.022707,-0.0404522,0.0892052,0.202086,0.189565,0.20915
421,0.0909796,-1.53229,8.58201,0.0103831,-0.0242646,0.0936684,0.202406,0.188695,0.211566
422,0.110133,-1.43652,8.68137,-0.0183282,-0.0150051,0.0983315,0.201874,0.188134,0.2142
423,0.178368,-1.6113,8.5018,-0.058564,-0.023332,0.137035,0.20103,0.18788,0.21726
424,0.0574608,-1.66158,8.60595,-0.0798143,-0.0443825,0.158219,0.198489,0.18663,0.222244
425,0.102951,-1.48201,8.95431,-0.0570985,-0.0478466,0.171475,0.196412,0.185213,0.227047
426,0.199916,-1.3204,8.87291,-0.0312516,-0.0583052,0.16608,0.195353,0.183677,0.231628
427,0.0945709,-1.39223,9.14106,-0.0844108,-0.0309928,0.179736,0.193916,0.182375,0.23643
428,0.12809,-1.3228,8.96987,-0.0649591,-0.0101421,0.231163,0.191695,0.182115,0.242322
429,0.349553,-1.14323,8.67419,-0.0105342,-0.0483795,0.215242,0.190757,0.181289,0.24821
430,0.250194,-1.15879,9.05606,-0.0401781,-0.0495786,0.221437,0.190152,0.179746,0.254248
431,0.187945,-0.802057,9.20211,-0.0724867,-0.0178695,0.237558,0.188445,0.179104,0.260544
432,0.369904,-0.228646,8.9172,-0.139835,-0.0117409,0.220571,0.185982,0.178624,0.266943
433,0.264559,-0.308852,8.81544,-0.135572,0.032292,0.201053,0.182493,0.178997,0.273499
434,0.434547,-0.264559,8.72207,-0.0201934,0.0550745,0.152157,0.180076,0.180423,0.278069
435,0.353145,-0.578199,8.65144,0.0752667,0.0448823,0.173074,0.18162,0.181966,0.28214
436,0.153229,-0.147243,9.16859,-0.0223918,0.00851025,0.163681,0.182141,0.182471,0.286847
437,0.339976,-0.272939,9.26316,-0.0357815,-0.0121406,0.121514,0.180793,0.182343,0.290671
438,0.35075,-0.308852,8.97107,-0.0136651,-0.00414672,0.0241217,0.180088,0.182248,0.292868
439,0.53271,-0.529118,8.38808,0.0259712,-0.0377876,0.0420413,0.180727,0.18186,0.294252
440,0.390255,-0.634463,8.31266,0.0604114,-0.0673649,0.0598943,0.18149,0.180102,0.295615
441,0.683544,-0.428562,8.916,0.0733348,-0.0355227,0.0342473,0.183331,0.178602,0.297395
442,0.707486,-0.384269,9.03452,0.0785975,-0.0106084,0.00580243,0.184422,0.17782,0.296509
443,0.766144,-0.102951,8.80946,0.0428249,0.0550745,0.00127257,0.186285,0.178587,0.296693
444,0.506373,-0.857124,8.67778,0.0246389,0.0796557,0.000339949,0.186695,0.180741,0.296551
445,0.513556,-0.68953,8.37132,0.0324995,0.07839,-0.00125883,0.18715,0.182884,0.29663
446,0.584185,-0.812831,8.02536,0.0337652,0.0470141,-0.0015919,0.188106,0.184622,0.296535
447,0.603339,-0.811634,8.27436,-0.0125326,0.0406856,-0.0125169,0.188785,0.185601,0.296694
448,0.536301,-0.931344,8.55568,-0.0357149,0.0622024,-0.0177129,0.188213,0.187001,0.296425
449,0.602141,-0.949301,8.20133,-0.0421766,0.0754589,-0.0272389,0.187218,0.189063,0.295805
450,0.640449,-1.02591,8.18816,-0.0145977,0.0472805,-0.0287711,0.186447,0.190587,0.294973
451,0.615309,-1.09056,8.54251,-0.0345158,0.0323586,-0.0795988,0.186343,0.191678,0.293894
452,0.828393,-1.2366,8.63349,-0.0261222,0.0350899,-0.0458913,0.185817,0.192445,0.292742
453,0.521936,-1.29407,8.47906,-0.0397784,0.0183693,-0.0450919,0.184972,0.193089,0.291469
454,0.608127,-1.08338,8.71249,-0.0662914,0.0282285,-0.0439594,0.183032,0.193799,0.290201
455,0.48722,-1.05105,9.05487,-0.00740324,0.0320255,-0.0470904,0.182478,0.194535,0.289014
456,0.481234,-1.03549,8.90284,-0.0331169,0.0547415,-0.0217098,0.182157,0.195816,0.288103
457,0.320823,-0.925359,9.44632,-0.0708213,0.074926,-0.03017,0.180309,0.198013,0.287168
458,0.171185,-0.622492,9.11113,-0.0493711,0.0369551,-0.0410949,0.178659,0.199427,0.286263
459,0.308852,-0.746991,8.69933,0.00145664,0.0280952,-0.0586815,0.178282,0.200272,0.284892
460,0.27653,-0.963666,8.74242,-0.0420434,-0.00308087,-0.0556171,0.177404,0.200743,0.283169
461,0.197522,-0.338779,8.72686,0.0285026,-0.0378542,-0.0611463,0.177158,0.200151,0.281817
462,0.17358,-0.575805,8.82502,-0.0371804,-0.0784897,-0.0974517,0.175868,0.198462,0.278089
463,0.0335188,-0.638054,9.04649,-0.0789484,-0.078623,-0.084928,0.174051,0.19617,0.276005
464,-0.189142,-0.452504,8.92678,-0.0195939,-0.12532,-0.0995834,0.172932,0.193565,0.273386
465,-0.00837971,-0.211887,8.97586,0.0468218,-0.179546,-0.0724709,0.173555,0.189291,0.270357
466,0.0933738,-0.336385,9.57321,0.0656074,-0.188672,-0.0638109,0.175129,0.183852,0.268302
467,0.259771,-0.286107,9.13986,0.063076,-0.138843,-0.107178,0.176531,0.17943,0.26565
468,0.299275,-0.122104,8.82383,0.0461557,-0.0575058,-0.0778668,0.178764,0.176863,0.263599
469,-0.071826,-0.270545,8.84896,-0.0161965,0.00504624,-0.0628783,0.178984,0.176391,0.261503
470,-0.337582,-0.23104,8.73285,0.0294352,0.0624689,0.0195919,0.17876,0.177639,0.261377
471,-0.17358,-0.228646,8.3797,0.0633425,0.0734604,-0.0329012,0.179752,0.179534,0.260913
472,-0.134075,-0.56144,8.06367,0.11497,0.0695301,-0.0193783,0.182743,0.181603,0.260204
473,0.0670376,-0.436942,8.11275,0.0815952,0.0328249,-0.0179793,0.185493,0.182912,0.259764
474,0.177171,-0.509965,8.30309,0.0728686,-0.000349633,-0.0264395,0.187243,0.183247,0.25907
475,0.164003,-0.457292,8.44315,0.0975163,-0.0253305,-0.0424273,0.18954,0.182676,0.258194
476,0.154426,-0.703895,8.60595,0.106776,-0.016404,-0.049755,0.192501,0.182093,0.256919
477,0.0383072,-0.954089,8.31745,0.0574803,-0.0111414,-0.00871978,0.194492,0.181554,0.255776
478,0.0275333,-0.932541,8.2576,0.00965035,-0.00647827,0.000872874,0.194921,0.181313,0.255508
479,-0.011971,-0.87508,8.73404,0.010583,-0.0126735,0.00347088,0.195251,0.180957,0.255651
