id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z
64,0.73502,-0.101754,8.47427,0.0407753,0.0375057,-0.0760018,0.0904615,0.176097,-0.238348
65,0.656011,-0.409408,8.76517,0.00140549,0.0554253,-0.0915233,0.0912922,0.177663,-0.240796
66,0.758962,-0.427365,9.06085,-0.0560172,0.0296451,-0.11284,0.090001,0.17866,-0.243657
67,0.860715,-0.28491,8.76637,-0.0548847,0.0243824,-0.132692,0.0884958,0.179164,-0.246996
68,0.699107,-0.707486,8.87051,-0.0672086,0.0564911,-0.119302,0.0869513,0.180342,-0.250579
69,0.62728,-0.440533,9.02973,-0.0436266,0.0660172,-0.0998502,0.0852008,0.182338,-0.253514
70,0.828393,0.059855,8.92439,-0.0250409,0.0487637,-0.0953203,0.0845903,0.183527,-0.255888
71,0.825999,-0.298078,9.10275,-0.158205,0.0796733,-0.0393633,0.0827162,0.1856,-0.258506
72,0.741005,-0.0155623,9.25478,-0.293036,0.176466,-0.0708058,0.0760247,0.189311,-0.260215
73,0.493205,-0.0107739,10.0066,-0.388096,0.26653,-0.0841289,0.0665715,0.195664,-0.261979
74,0.0442927,0.328005,9.4116,-0.345196,0.172003,-0.141685,0.0555278,0.201766,-0.26441
75,0.0203507,1.13844,10.3046,0.0509009,0.00899423,-0.222156,0.0532037,0.203915,-0.272317
76,0.243011,1.68432,10.1969,0.150225,-0.0832683,-0.128695,0.0569083,0.202213,-0.275392
77,-0.0634463,-0.323217,9.29668,0.0963993,-0.0206497,-0.102248,0.0597557,0.200897,-0.278513
78,0.0311246,-0.19393,7.57046,0.119049,0.000667285,-0.0820639,0.0625665,0.200828,-0.280892
79,-0.0215478,0,7.31548,0.0703526,-0.0126558,-0.0502216,0.0653809,0.200773,-0.282957
80,0.0945709,0.0287304,7.98227,-0.100516,-0.0429659,0.0600938,0.0643939,0.199865,-0.28142
81,-0.00718261,0.345962,8.38688,-0.196842,-0.0544904,-0.0599475,0.0595561,0.19864,-0.281773
82,-0.0335188,0.599747,8.76876,-0.152143,-0.0804705,-0.100317,0.0545781,0.196716,-0.283893
83,-0.120907,0.858321,9.1638,-0.0789329,-0.10665,-0.153609,0.0513938,0.194167,-0.287429
84,-0.244209,0.44173,8.89685,0.0430402,-0.109515,-0.150012,0.0509787,0.191271,-0.291746
85,-0.328005,0.0502782,8.12592,0.111921,-0.129966,-0.113307,0.0535144,0.187889,-0.295266
86,-0.00957681,-0.269348,8.30428,0.0955333,-0.113578,-0.0748027,0.0562757,0.184757,-0.297621
87,0.177171,-0.0742202,8.13071,0.146694,-0.0854667,-0.0506879,0.0595127,0.18199,-0.29919
88,0.383072,-0.278924,8.41681,0.0678878,-0.0530915,0.00180518,0.0628244,0.180263,-0.299739
89,0.20231,-0.221464,8.67658,-0.0145156,-0.0118565,-0.0293709,0.0633054,0.179859,-0.300224
90,0.287304,-0.219069,8.28753,0.0171934,-0.0130555,-0.0333012,0.0625573,0.179418,-0.301028
91,0.161609,-0.221464,8.37851,0.0407087,-0.00186411,-0.0396963,0.0642716,0.179567,-0.302183
92,0.135272,-0.503979,8.43477,-0.0271726,-0.0256459,-0.031436,0.0640076,0.178906,-0.303117
93,0.0825999,-0.657208,7.88889,0.0600272,-0.0353051,-0.0109184,0.0645839,0.178258,-0.303716
94,0.095768,-0.823605,8.30309,0.0279185,-0.0643495,0.0254537,0.0661506,0.176783,-0.303481
95,0.179565,-0.816422,8.85136,-0.00712131,-0.023714,0.052433,0.0658174,0.175296,-0.302293
96,0.183156,-0.871489,8.70771,-0.0463579,0.00606315,0.0719514,0.0650957,0.175287,-0.300727
97,0.192733,-0.952892,8.6275,-0.0653434,-0.00632736,0.100463,0.0630721,0.17541,-0.298306
98,0.196324,-0.742202,8.70172,-0.0462247,-0.0390356,0.118316,0.0615914,0.174774,-0.295279
99,0.292092,-0.618901,9.00698,-0.0658096,-0.0167194,0.11745,0.0603076,0.174261,-0.29218
100,0.335188,-0.632069,9.26915,-0.0754689,-0.0126558,0.113186,0.0582003,0.173715,-0.288994
101,0.492008,-0.271742,8.9567,-0.0727376,-0.0282439,0.0819437,0.056051,0.173241,-0.286273
102,0.310049,-0.527921,9.00938,-0.0830631,-0.0575548,0.0783465,0.0542508,0.17215,-0.284298
103,0.483629,-0.368707,9.08719,-0.0760684,-0.130499,0.121047,0.0518994,0.169168,-0.281906
104,0.581791,-0.6608,9.04529,-0.140153,-0.123771,0.23023,0.0490872,0.165717,-0.276228
105,0.360327,-0.571017,9.4535,-0.176991,-0.111846,0.181134,0.0447375,0.162589,-0.271208
106,0.456095,0.502782,9.43435,-0.0404957,-0.101787,0.162682,0.0419617,0.159749,-0.266078
107,0.670376,0.482431,9.72285,0.0099989,-0.0843342,0.193458,0.0417898,0.157517,-0.261041
108,0.73502,-0.0909796,9.5373,0.0834093,-0.064616,0.200386,0.0427808,0.155235,-0.255583
109,1.45328,0.201113,9.04888,0.155754,-0.0307753,0.0961995,0.0469705,0.153668,-0.253978
110,1.24498,0.427365,8.92678,0.103994,-0.0393687,0.129108,0.0503378,0.152786,-0.250393
111,1.06302,-0.0933738,8.29351,0.0580954,0.0113258,0.124045,0.0525603,0.152378,-0.247152
112,1.01754,-0.126893,8.32823,-0.0096527,0.0341749,0.128042,0.0528828,0.153253,-0.243629
113,0.934935,0.0287304,8.76756,-0.0246412,0.0207186,0.127709,0.0519661,0.153945,-0.240225
114,0.825999,0.593762,9.12789,0.000939183,0.0345746,0.109256,0.051738,0.15454,-0.237077
115,0.91219,0.737414,9.30267,-0.0275723,0.0478311,0.0697531,0.0514694,0.155757,-0.234637
116,0.956483,0.0299275,8.4192,-0.00585561,0.0922637,0.0179262,0.0508867,0.157763,-0.233688
117,0.80086,-0.395043,8.10317,0.0724177,0.0889329,0.0202577,0.0521838,0.160621,-0.233294
118,0.737414,-0.220266,7.90086,0.104993,0.0363733,0.0249208,0.0549223,0.162221,-0.232887
119,0.869095,-0.229843,8.41203,0.0738166,0.014057,0.0186589,0.0577312,0.162498,-0.232034
120,1.02951,-0.332794,8.48864,0.0389101,0.03624,0.00859997,0.059032,0.16313,-0.231691
121,1.13725,-0.047884,8.42878,0.0638243,0.0535601,-0.0151152,0.060093,0.164057,-0.231774
122,1.1564,-0.095768,8.80946,0.0579621,0.0885999,-0.0413617,0.0620513,0.166006,-0.232695
123,1.00078,-0.713472,8.73524,-0.0388303,0.111116,-0.0201114,0.0621845,0.168569,-0.233719
124,0.89184,-0.39624,8.63708,-0.0517538,0.104121,-0.0660761,0.0607215,0.17138,-0.235071
125,0.712275,-0.514753,8.39646,-0.0150485,0.0987254,-0.0532193,0.0597271,0.174003,-0.23653
126,0.645237,-0.59855,8.56645,-0.0325018,0.108118,-0.0677415,0.0591746,0.176942,-0.238294
127,0.4956,-0.500388,8.5461,-0.050155,0.100924,-0.0916565,0.0578842,0.179616,-0.240502
128,0.621295,-0.416591,8.70651,-0.0655432,0.118377,-0.0993173,0.0563853,0.182775,-0.243094
129,0.588973,-0.377087,8.86333,-0.120035,0.0983924,-0.113373,0.0530877,0.185648,-0.246101
130,0.663194,-0.209493,8.78312,-0.0636113,0.0790738,-0.153476,0.050757,0.188049,-0.249682
131,0.581791,0.290895,9.43794,-0.0886588,0.0589559,-0.215961,0.0501565,0.190027,-0.254333
132,0.460884,0.114922,9.34217,-0.164401,0.0716129,-0.267721,0.0454868,0.192115,-0.262901
133,0.0167594,-0.580594,9.18176,-0.144283,0.101923,-0.270453,0.0406363,0.194816,-0.270356
134,-0.256179,0.232237,9.06564,0.0570961,0.0632859,-0.334337,0.0393468,0.197383,-0.277507
135,-0.177171,0.19393,8.98903,-0.00552253,-0.0563557,-0.183919,0.0407663,0.196111,-0.286123
136,0.17358,0.0107739,8.67898,-0.0803985,-0.0175854,-0.129627,0.0402676,0.195101,-0.289927
137,-0.00478841,0.488417,8.45751,-0.0164475,0.0126581,-0.172728,0.0381803,0.195349,-0.293266
138,0.349553,0.286107,8.20373,0.0620923,-0.027711,-0.0963862,0.0384373,0.195318,-0.296464
139,0.379481,0.401029,8.72686,0.0770142,-0.025979,-0.0287048,0.040489,0.194466,-0.297467
140,0.345962,0.411803,9.18894,-0.0041236,-0.0223817,-0.0696734,0.0415931,0.193715,-0.299161
141,0.317232,0.893037,9.3326,0.079812,-0.0469629,-0.128761,0.0412198,0.192577,-0.301507
142,0.422576,0.328005,8.55089,0.293248,-0.000798255,-0.091057,0.0474168,0.192414,-0.304064
143,0.0802057,0.105345,8.19654,0.128441,-0.0195839,-0.0438265,0.0531274,0.192405,-0.304592
144,0.147243,-0.101754,8.51857,0.0455716,-0.0307087,-0.0643441,0.0541407,0.191625,-0.306225
145,0.240617,0.179565,8.43118,0.203117,0.00233267,-0.0954536,0.0582104,0.191133,-0.308429
146,0.205901,-0.368707,8.5868,0.123578,-0.00999121,-0.0861274,0.0636332,0.191456,-0.311161
